index	arabish	class	words	tokens	pos	lem
14848	.	arabizi	.	.	PUNC	PUNC
14849	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
14850	hethi	arabizi	هاذي	هاذي	DEM_ADJ_3FS	هاذا
14851	dar	arabizi	دار	دار	NOUN	دار
14852	tyara	arabizi	طيارة	طيارة	NOUN-NSUFF_FEM_SG	طيارة
14853	.	arabizi	.	.	PUNC	PUNC
14854	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
14855	kouka	arabizi	كوكا	كوكا	NOUN_PROP	كوكا
14856	s8ira	arabizi	صغيرة	صغيرة	ADJ-NSUFF_FEM_SG	صغير
14857	,	arabizi	،	،	PUNC	PUNC
14858	y3ichek	arabizi	يعيّشك	يعيّش+ك	[IV3MS-IV+IVSUFF_DO:2S]INTERJ	عيّش
14859	.	arabizi	.	.	PUNC	PUNC
14860	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
14861	b9adech	arabizi	بقدّاش	ب+بقدّاش	PREP+INTERROG_ADV	بقدّاش
14862	ettamin	arabizi	التامين	ال+تامين	DET+NOUN	تامين
14863	ala	arabizi	على	على	PREP	على
14864	thlethamiya	arabizi	ثلاثمياة	ثلاثمية	NOUN_NUM	ثلاثمية
14865	doular	arabizi	دولار	دولار	NOUN	دولار
14866	?	arabizi	؟	؟	PUNC	PUNC
14867	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
14868	tnajmech	arabizi	تنجّمش	تنجّم+ش	IV2S-IV+NEG_PART	نجّم
14869	t9oli	arabizi	تقول لي	تقل+ل+ي	IV2FS-IV+[PREP+PRON_1S]IVSUFF_IO:1S	قال
14870	lflous	arabizi	الفلوس	ال+فلوس	DET+NOUN	فلوس
14871	lmo9ayida	arabizi	المقيّدة	ال+مقيّدة	DET+ADJ-NSUFF_FEM_SG	مقيّد
14872	hethi	arabizi	هاذي	هاذي	DEM_ADJ_3FS	هاذا
14873	mte3	arabizi	متاع	متاع	PREP	متاع
14874	chnowa	arabizi	شنهو	شن+هو	INTERROG_ADV+PRON_3MS	هو
14875	?	arabizi	؟	؟	PUNC	PUNC
14876	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
14877	chnowa	arabizi	شنهو	شن+هو	INTERROG_ADV+PRON_3MS	هو
14878	ettar7	arabizi	الطرح	ال+طرح	DET+NOUN	طرح
14879	elli	arabizi	اللي	اللي	REL_PRON	اللي
14880	9a3id	arabizi	قاعد	قاعد	ADJ	قاعد
14881	yemchi	arabizi	يمشي	يمشي	IV3MS-IV	مشى
14882	fi	arabizi	في	في	PREP	في
14883	lmal3eb	arabizi	الملعب	ال+ملعب	DET+NOUN	ملعب
14884	?	arabizi	؟	؟	PUNC	PUNC
14885	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
14886	essab3a	arabizi	السبعة	ال+سبعة	DET+NOUN_NUM	سبعة
14887	mte3	arabizi	متاع	متاع	PREP	متاع
14888	essbe7	arabizi	الصباح	ال+صباح	DET+NOUN	صباح
14889	,	arabizi	،	،	PUNC	PUNC
14890	bettaw9it	arabizi	بالتوقيت	ب+ال+توقيت	PREP+DET+NOUN	توقيت
14891	lma7alli	arabizi	المحلّي	ال+محلّي	DET+ADJ	محلّي
14892	.	arabizi	.	.	PUNC	PUNC
14893	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
14894	lbakou	arabizi	الباكو	ال+باكو	DET+NOUN	باكو
14895	toulou	arabizi	طوله	طول+ه	NOUN+POSS_PRON_3MS	طول
14896	5amsa	arabizi	خمسة	خمسة	NOUN_NUM	خمسة
14897	wsittin	arabizi	وستين	و+ستّين	CONJ+NOUN_NUM	وستّين
14898	senti	arabizi	سانتي	سانتي	NOUN	سانتي
14899	,	arabizi	،	،	PUNC	PUNC
14900	3aradhou	arabizi	عرضه	عرض+ه	NOUN+POSS_PRON_3MS	عرض
14901	etletine	arabizi	ثلاثين	ثلاثين	NOUN_NUM	ثلاثين
14902	senti	arabizi	سانتي	سانتي	NOUN	سانتي
14903	,	arabizi	،	،	PUNC	PUNC
14904	w3oulou	arabizi	وعلوه	و+علوا+ه	CONJ+NOUN+POSS_PRON_3MS	علو
14905	thmontachen	arabizi	ثمنتاش	ثمنتاشن	NOUN_NUM	ثمنتاش
14906	senti	arabizi	سانتي	سانتي	NOUN	سانتي
14907	.	arabizi	.	.	PUNC	PUNC
14908	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
14909	l3achra	arabizi	العشرة	ال+عشرة	DET+NOUN-NSUFF_FEM_SG	عشرة
14910	.	arabizi	.	.	PUNC	PUNC
14911	hedha	arabizi	هاذا	هاذا	DEM_PRON_3MS	هاذا
14912	mefteh	arabizi	مفتاح	مفتاح	NOUN	مفتاح
14913	bitek	arabizi	بيتك	بيت+ك	NOUN+POSS_PRON_2S	بيت
14914	.	arabizi	.	.	PUNC	PUNC
14915	bitek	arabizi	بيتك	بيت+ك	NOUN+POSS_PRON_2S	بيت
14916	hiya	arabizi	هي	هي	PRON_3FS	هو
14917	arb3a	arabizi	اربعة	اربعة	NOUN_NUM	اربعة
14918	w5amsin	arabizi	وخمسين	و+خمسين	CONJ+NOUN_NUM	خمسين
14919	thletha	arabizi	ثلاثة	ثلاثة	NOUN_NUM	ثلاثة
14920	wthlethin	arabizi	وثلاثين	و+ثلاثين	CONJ+NOUN_NUM	ثلاثين
14921	.	arabizi	.	.	PUNC	PUNC
14922	la7mel	arabizi	الحمال	ال+حمّال	DET+NOUN	حمّال
14923	taw	arabizi	تو	تو	ADV	توّا
14924	yetla3	arabizi	يطلع	يطلع	IV3MS-IV	طلع
14925	lek	arabizi	لك	ل+ك	PREP+PRON_2S	لك
14926	dabchek	arabizi	دبشك	دبش+ك	NOUN+POSS_PRON_2S	دبش
14927	.	arabizi	.	.	PUNC	PUNC
14928	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
14929	t7effli	arabizi	تحفف لي	تحفف+ل+ي	IV2S-IV+[PREP+PRON_1S]IVSUFF_IO:1S	حفف
14930	fi	arabizi	في	في	PREP	في
14931	9esti	arabizi	قصتي	قصة+ي	NOUN-NSUFF_FEM_SG+POSS_PRON_1S	قصّة
14932	aynech	arabizi	اينش	اينش	INTERROG_ADV	اين
14933	fou9	arabizi	فوق	فوق	ADV	فوق
14934	7wajbi	arabizi	حواجبي	حواجب+ي	NOUN+POSS_PRON_1S	حواجب
14935	?	arabizi	؟	؟	PUNC	PUNC
14936	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
14937	dour	arabizi	دور	دور	CV2S-CV	دور
14938	3alisar	arabizi	عاليسار	ع+ال+يسار	PREP+DET+NOUN	يسار
14939	m3a	arabizi	مع	مع	PREP	مع
14940	edhou	arabizi	الضو	ال+ضو	DET+NOUN	ضو
14941	errafef	arabizi	الرفاف	ال+رفاف	DET+NOUN	رفاف
14942	.	arabizi	.	.	PUNC	PUNC
14943	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
14944	y3ichek	arabizi	يعيّشك	يعيّش+ك	[IV3MS-IV+IVSUFF_DO:2S]INTERJ	عيّش
14945	ni7i	arabizi	نحّي	نحّي	IV1S-IV	نحّى
14946	7weyjek	arabizi	حوايجك	حوايج+ك	NOUN+POSS_PRON_2S	حوايج
14947	welbes	arabizi	والبس	و+البس	CONJ+CV2S-CV	لبس
14948	errouba	arabizi	الروبة	ال+روبة	DET+NOUN-NSUFF_FEM_SG	روبة
14949	hethi	arabizi	هاذي	هاذي	DEM_ADJ_3FS	هاذا
14950	.	arabizi	.	.	PUNC	PUNC
14951	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
14952	3andik	arabizi	عندك	عند+ك	PREP+PRON_2S	عند
14953	skoutch	arabizi	سكوتش	سكوتش	NOUN	سكوتش
14954	?	arabizi	؟	؟	PUNC	PUNC
14955	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
14956	win	arabizi	وين	وين	INTERROG_ADV	وين
14957	a9reb	arabizi	اقرب	اقرب	ADJ_COMP	قريب
14958	hanout	arabizi	حانوت	حانوت	NOUN	حانوت
14959	sbabet	arabizi	صبابط	صبابط	NOUN	صبّاط
14960	?	arabizi	؟	؟	PUNC	PUNC
14961	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
14962	3andik	arabizi	عندك	عند+ك	PREP+PRON_2S	عند
14963	Ain	arabizi	عين	عين	NOUN_PROP	عين
14964	fanniya	arabizi	فنّية	فنّية	ADJ-NSUFF_FEM_SG	فنّي
14965	.	arabizi	.	.	PUNC	PUNC
14966	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
14967	ta5ou	arabizi	تاخو	تاخو	CV2S-CV	خدا
14968	fi	arabizi	في	في	PREP	في
14969	dwayet	arabizi	دوايات	دوايات	NOUN-NSUFF_FEM_PL	دوا
14970	o5rin	arabizi	آخرين	آخرين	ADJ-NSUFF_MASC_PL	آخر
14971	?	arabizi	؟	؟	PUNC	PUNC
14972	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
14973	el3afew	arabizi	العفو	ال+عفو	DET+NOUN	عفو
14974	.	arabizi	.	.	PUNC	PUNC
14975	n5ayyer	arabizi	خيّر	خيّر	IV1S-IV	خيّر
14976	bo93a	arabizi	بقعة	بقعة	NOUN-NSUFF_FEM_SG	بقعة
14977	bjneb	arabizi	بجنب	ب+جنب	PREP+NOUN	جنب
14978	lmamcha	arabizi	الممشى	ال+ممشى	DET+NOUN	ممشى
14979	.	arabizi	.	.	PUNC	PUNC
14980	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
14981	3andik	arabizi	عندك	عند+ك	PREP+PRON_2S	عند
14982	cash	arabizi	كاش	كاش	NOUN	كاش
14983	yemchi	arabizi	يمشي	يمشي	IV3MS-IV	مشى
14984	m3ah	arabizi	معاه	مع+ه	PREP+PRON_3MS	مع
14985	?	arabizi	؟	؟	PUNC	PUNC
14986	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
14987	yasser	arabizi	ياسر	ياسر	ADV	ياسر
14988	dhoui9a	arabizi	ضويقة	ضويقة	ADJ-NSUFF_FEM_SG	ضيق
14989	houni	arabizi	هوني	هوني	ADV	هنا
14990	.	arabizi	.	.	PUNC	PUNC
14991	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
14992	ahla	arabizi	اهلا	اهلا	ADV	اهلا
14993	,	arabizi	،	،	PUNC	PUNC
14994	hethi	arabizi	هاذي	هاذي	DEM_ADJ_3FS	هاذا
14995	lbit	arabizi	البيت	ال+بيت	DET+NOUN	بيت
14996	ethnach	arabizi	اثناش	اثناش	NOUN_NUM	ثناش
14997	arb3a	arabizi	اربعة	اربعة	NOUN_NUM	اربعة
14998	wthlethin	arabizi	وثلاثين	و+ثلاثين	CONJ+NOUN_NUM	ثلاثين
14999	.	arabizi	.	.	PUNC	PUNC
15000	ismi	arabizi	اسمي	اسم+ي	NOUN+POSS_PRON_1S	اسم
15001	ouda	arabizi	اودا	اودا	NOUN_PROP	اودا
15002	.	arabizi	.	.	PUNC	PUNC
15003	t9oumouni	arabizi	تقوموني	تقوموا+ني	CV-CVSUFF_SUBJ:2P+CVSUFF_DO:1S	قام
15004	bettalfoun	arabizi	بالتالفون	ب+ال+تالفون	PREP+DET+NOUN	تالفون
15005	ghodwa	arabizi	غدوة	غدوة	[NOUN-NSUFF_FEM_SG]ADV	غدوة
15006	m3a	arabizi	مع	مع	PREP	مع
15007	essitta	arabizi	الستّة	ال+ستّة	DET+NOUN_NUM	ستّة
15008	mte3	arabizi	متاع	متاع	PREP	متاع
15009	essbe7	arabizi	الصباح	ال+صباح	DET+NOUN	صباح
15010	,	arabizi	،	،	PUNC	PUNC
15011	y3ichek	arabizi	يعيّشك	يعيّش+ك	[IV3MS-IV+IVSUFF_DO:2S]INTERJ	عيّش
15012	.	arabizi	.	.	PUNC	PUNC
15013	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
15014	ente	arabizi	انت	انت	PRON_2S	هو
15015	3adhou	arabizi	عضو	عضو	NOUN	عضو
15016	fi	arabizi	في	في	PREP	في
15017	ennedi	arabizi	النادي	ال+نادي	DET+NOUN	نادي
15018	lmontecher	arabizi	المنتشر	ال+منتشر	DET+ADJ	منتشر
15019	mte3na	arabizi	متاعنا	متاع+نا	PREP+PRON_1P	متاع
15020	akri	arabizi	اكري	اكري	INTERJ	اكري
15021	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
15022	karhba	arabizi	كرهبة	كرهبة	NOUN-NSUFF_FEM_SG	كرهبة
15023	?	arabizi	؟	؟	PUNC	PUNC
15024	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
15025	ma	arabizi	ما	ما	NEG_PART	ما
15026	fhemtekch	arabizi	فهمتكش	فهمت+ك+ش	PV-PVSUFF_SUBJ:1S+PVSUFF_DO:2S+NEG_PART	فهم
15027	fech	arabizi	فاش	فاش	INTERROG_PRON	اش
15028	t9oul	arabizi	تقول	تقول	IV2S-IV	قال
15029	.	arabizi	.	.	PUNC	PUNC
15030	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
15031	rasek	arabizi	راسك	راس+ك	NOUN+POSS_PRON_2S	راس
15032	youja3	arabizi	يوجع	يوجع	IV3MS-IV	وجع
15033	?	arabizi	؟	؟	PUNC	PUNC
15034	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
15035	miselch	arabizi	ما يسالش	ما+يسال+ش	[NEG_PART+IV3MS-IV+NEG_PART]INTERJ	سال
15036	tji	arabizi	تجي	تجي	IV2S-IV	جا
15037	thezni	arabizi	تهزّني	تهزّ+ني	IV2S-IV+IVSUFF_DO:1S	هزّ
15038	men	arabizi	من	من	PREP	من
15039	a9reb	arabizi	اقرب	اقرب	ADJ_COMP	قرب
15040	ma7ta	arabizi	محطّة	محطّة	NOUN-NSUFF_FEM_SG	محطّة
15041	?	arabizi	؟	؟	PUNC	PUNC
15042	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
15043	ey	arabizi	اي	اي	INTERJ	اي
15044	.	arabizi	.	.	PUNC	PUNC
15045	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
15046	miselch	arabizi	ما يسالش	ما+يسال+ش	[NEG_PART+IV3MS-IV+NEG_PART]INTERJ	سال
15047	tjibli	arabizi	تجيب لي	تجيب+ل+ي	IV2S-IV+[PREP+PRON_1S]IVSUFF_IO:1S	جاب
15048	jarayéd	arabizi	جرايد	جرايد	NOUN	جريدة
15049	welei	arabizi	ولا	ولا	CONJ	ولا
15050	majalla	arabizi	مجلّات	مجلّات	NOUN-NSUFF_FEM_PL	مجلّة
15051	?	arabizi	؟	؟	PUNC	PUNC
15052	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
15053	en7eb	arabizi	نحبّ	نحبّ	IV1S-IV	حبّ
15054	kteb	arabizi	كتاب	كتاب	NOUN	كتاب
15055	na7ou	arabizi	نحو	نحو	NOUN	نحو
15056	.	arabizi	.	.	PUNC	PUNC
15057	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
15058	fama	arabizi	فمّة	فمّة	PSEUDO_VERB	فمّة
15059	mal3ab	arabizi	ملعب	ملعب	NOUN	ملعب
15060	mte3	arabizi	متاع	متاع	PREP	متاع
15061	tennis	arabizi	تنّيس	تنّيس	NOUN	تنّيس
15062	9rib	arabizi	قريب	قريب	ADJ	قريب
15063	men	arabizi	من	من	PREP	من
15064	houni	arabizi	هوني	هوني	ADV	هنا
15065	?	arabizi	؟	؟	PUNC	PUNC
15066	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
15067	Nouar	arabizi	نوار	نوار	NOUN_PROP	نوار
15068	7ab	arabizi	حب	حب	PV-PVSUFF_SUBJ:3MS	حبّ
15069	lmlouk	arabizi	الملوك	ال+ملوك	DET+NOUN	ملوك
15070	elli	arabizi	اللي	اللي	REL_PRON	اللي
15071	ta7tflou	arabizi	تحتفلوا	تحتفلوا	IV2P-IV-IVSUFF_SUBJ:P	احتفل
15072	bih	arabizi	به	ب+ه	PREP+PRON_3MS	هو
15073	fi	arabizi	في	في	PREP	في
15074	lyeben	arabizi	اليابان	ال+يابان	DET+NOUN_PROP	يابان
15075	wa9tech	arabizi	وقتاش	وقتاش	INTERROG_ADV	وقتاش
15076	ynawour	arabizi	ينور	ينوّر	IV3MS-IV	نوّر
15077	?	arabizi	؟	؟	PUNC	PUNC
15078	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
15079	ey	arabizi	اي	اي	INTERJ	اي
15080	,	arabizi	،	،	PUNC	PUNC
15081	3anna	arabizi	عننا	عند+نا	PREP+PRON_1P	عند
15082	.	arabizi	.	.	PUNC	PUNC
15083	taw	arabizi	تو	تو	ADV	توّا
15084	nmchy	arabizi	نمشي	نمشي	IV1S-IV	مشى
15085	enjibou	arabizi	نجيبه	نجيب+ه	IV1S-IV+IVSUFF_DO:3MS	جاب
15086	lik	arabizi	لك	ل+ك	PREP+PRON_2S	لك
15087	taw	arabizi	توا	توا	ADV	توّا
15088	.	arabizi	.	.	PUNC	PUNC
15089	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
15090	chnowa	arabizi	شنوا	شنوا	INTERROG_PRON	شنوّة
15091	t7eb	arabizi	تحب	تحب	IV2S-IV	حبّ
15092	fou9ha	arabizi	فوقها	فوق+ها	ADV+PRON_3FS	فوق
15093	?	arabizi	؟	؟	PUNC	PUNC
15094	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
15095	ydhhorli	arabizi	يظهر لي	يظهر+ل+ي	IV3MS-IV+[PREP+PRON_1S]IVSUFF_IO:1S	ظهر
15096	5arjine	arabizi	خارجين	خارجين	ADJ-NSUFF_MASC_PL	خارج
15097	ettrabech	arabizi	الطرابش	ال+طرابش	DET+NOUN	طرابش
15098	hathouma	arabizi	هاذوما	هاذوما	DEM_PRON_3P	هاذا
15099	.	arabizi	.	.	PUNC	PUNC
15100	dhaher	arabizi	ظاهر	ظاهر	PV-PVSUFF_SUBJ:3MS	ظاهر
15101	li	arabizi	لي	ل+ي	PREP+PRON_1S	لي
15102	bech	arabizi	باش	باش	FUT_PART	باش
15103	nechri	arabizi	نشري	نشري	IV1S-IV	شرى
15104	wa7da	arabizi	واحدة	واحدة	ADJ-NSUFF_FEM_SG	واحد
15105	,	arabizi	،	،	PUNC	PUNC
15106	zeda	arabizi	زادة	زادة	ADV	زادة
15107	.	arabizi	.	.	PUNC	PUNC
15108	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
15109	kifech	arabizi	كيفاش	كيفاش	INTERROG_ADV	كيفاش
15110	t7eb	arabizi	تحب	تحبّ	IV2S-IV	حبّ
15111	kouartek	arabizi	كوارتك	كوارت+ك	NOUN+POSS_PRON_2S	كوارت
15112	?	arabizi	؟	؟	PUNC	PUNC
15113	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
15114	tawa	arabizi	توّا	توّا	ADV	توّا
15115	ma7loul	arabizi	محلول	محلول	ADJ	محلول
15116	?	arabizi	؟	؟	PUNC	PUNC
15117	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
15118	chnouma	arabizi	شنوما	شنوما	INTERROG_PRON	شنوّة
15119	aham	arabizi	اهم	اهم	ADJ_COMP	همّ
15120	l3roudh	arabizi	العروض	ال+عروض	DET+NOUN	عرض
15121	fi	arabizi	في	في	PREP	في
15122	lma3redh	arabizi	المعرض	ال+معرض	DET+NOUN	معرض
15123	hedha	arabizi	هاذا	هاذا	DEM_PRON_3MS	هاذا
15124	?	arabizi	؟	؟	PUNC	PUNC
15125	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
15126	9rib	arabizi	قريب	قريب	ADJ	قريب
15127	nemchiw	arabizi	نمشيوا	نمشيوا	IV1P-IV-IVSUFF_SUBJ:P	مشى
15128	.	arabizi	.	.	PUNC	PUNC
15129	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
15130	Waaw	arabizi	واو	واو	INTERJ	واو
15131	.	arabizi	.	.	PUNC	PUNC
15132	makobrou	arabizi	ما كبره	ما+كبر+ه	EXCLAM_PART+NOUN+PRON_3MS	كبر
15133	lbey	arabizi	الباي	ال+باي	DET+NOUN	باي
15134	.	arabizi	.	.	PUNC	PUNC
15135	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
15136	men	arabizi	من	من	PREP	من
15137	ana	arabizi	انى	انا	INTERROG_PRON	انا
15138	sekka	arabizi	سكّة	سكّة	NOUN-NSUFF_FEM_SG	سكّة
15139	y5roj	arabizi	يخرج	يخرج	IV3MS-IV	خرج
15140	ettrinou	arabizi	الترينو	ال+ترينو	DET+NOUN	ترينو
15141	mte3	arabizi	متاع	متاع	PREP	متاع
15142	Milano	arabizi	ميلانو	ميلانو	NOUN_PROP	ميلانو
15143	?	arabizi	؟	؟	PUNC	PUNC
15144	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
15145	y3ichek	arabizi	يعيّشك	يعيّش+ك	[IV3MS-IV+IVSUFF_DO:2S]INTERJ	عيّش
15146	koli	arabizi	قل لي	قل+ل+ي	CV2S-CV+[PREP+PRON_1S]CVSUFF_IO:1S	قال
15147	kifech	arabizi	كيفاش	كيفاش	INTERROG_ADV	كيفاش
15148	na3mel	arabizi	نعمل	نعمل	IV1S-IV	عمل
15149	mkalma	arabizi	مكالمة	مكالمة	NOUN-NSUFF_FEM_SG	مكالمة
15150	doulia	arabizi	دولية	دولية	ADJ-NSUFF_FEM_SG	دولية
15151	.	arabizi	.	.	PUNC	PUNC
15152	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
15153	najem	arabizi	نجّم	نجّم	IV1S-IV	نجّم
15154	netla3	arabizi	نطلع	نطلع	IV1S-IV	طلع
15155	m3aya	arabizi	معي	مع+ي	PREP+PRON_1S	معي
15156	idbach	arabizi	الدبش	ال+دبش	DET+NOUN	دبش
15157	hedha	arabizi	هاذا	هاذا	DEM_PRON_3MS	هاذا
15158	?	arabizi	؟	؟	PUNC	PUNC
15159	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
15160	3indi	arabizi	عندي	عند+ي	PREP+PRON_1S	عند
15161	5amsine	arabizi	خمسين	خمسين	NOUN_NUM	خمسين
15162	doular	arabizi	دولار	دولار	NOUN	دولار
15163	ntasref	arabizi	تصرّف	تصرّف	IV1S-IV	تصرّف
15164	fihom	arabizi	فيهم	في+هم	PREP+PRON_3P	في
15165	.	arabizi	.	.	PUNC	PUNC
15166	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
15167	haw	arabizi	هاو	ها+و	[DEM_PRON]FOCUS_PART+PRON_3MS	هو
15168	bech	arabizi	باش	باش	FUT_PART	باش
15169	na3ddi	arabizi	نعدّي	نعدّي	IV1S-IV	عدّى
15170	lik	arabizi	لك	ل+ك	PREP+PRON_2S	ل
15171	si	arabizi	سي	سي	ABBREV	سيّد
15172	souzouki	arabizi	سوزوكي	سوزوكي	NOUN_PROP	سوزوكي
15173	.	arabizi	.	.	PUNC	PUNC
15174	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
15175	essena	arabizi	السنّة	ال+سنّة	DET+NOUN-NSUFF_FEM_SG	سنّة
15176	hethi	arabizi	هاذي	هاذي	DEM_ADJ_3FS	هاذا
15177	ta7t	arabizi	طاحت	طاحت	PV-PVSUFF_SUBJ:3FS	طاح
15178	.	arabizi	.	.	PUNC	PUNC
15179	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
15180	Ena	arabizi	انا	انا	PRON_1S	هو
15181	,	arabizi	،	،	PUNC	PUNC
15182	zeda	arabizi	زادة	زادة	ADV	زادة
15183	.	arabizi	.	.	PUNC	PUNC
15184	kolt	arabizi	قلت	قلت	PV-PVSUFF_SUBJ:1S	قال
15185	tnjemch	arabizi	تنجّمش	تنجّم+ش	IV2S-IV+NEG_PART	نجّم
15186	t3awni	arabizi	تعاونني	تعاون+ني	IV2S-IV+IVSUFF_DO:1S	عاون
15187	nefhem	arabizi	نفهم	نفهم	IV1S-IV	فهم
15188	lmenu	arabizi	المينو	ال+مينو	DET+NOUN	مينو
15189	.	arabizi	.	.	PUNC	PUNC
15190	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
15191	nleffou	arabizi	نلفّه	نلفّ+ه	IV1S-IV+IVSUFF_DO:3MS	لفّ
15192	lik	arabizi	لك	ل+ك	PREP+PRON_2S	ل
15193	?	arabizi	؟	؟	PUNC	PUNC
15194	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
15195	yelzem	arabizi	يلزم	يلزم	IV3MS-IV	لزم
15196	sa3tine	arabizi	ساعتين	ساعتين	NOUN-NSUFF_FEM_DU	ساعة
15197	bech	arabizi	باش	باش	FUT_PART	باش
15198	wehed	arabizi	واحد	واحد	PRON_INDEF	واحد
15199	yemchi	arabizi	يمشي	يمشي	IV3MS-IV	مشى
15200	lelbirou	arabizi	للبيرو	ل+ال+بيرو	PREP+DET+NOUN	بيرو
15201	wiji	arabizi	ويجي	و+يجي	CONJ+IV3MS-IV	جا
15202	.	arabizi	.	.	PUNC	PUNC
15203	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
15204	3indi	arabizi	عندي	عند+ي	PREP+PRON_1S	عند
15205	teskra	arabizi	تسكرة	تسكرة	NOUN-NSUFF_FEM_SG	تسكرة
15206	lidtrouit	arabizi	لدترويت	ل+دترويت	PREP+NOUN_PROP	دترويت
15207	m3a	arabizi	مع	مع	PREP	مع
15208	l7ad3ech	arabizi	الاحداش	ال+احداش	DET+NOUN_NUM	احداش
15209	mte3	arabizi	متاع	متاع	PREP	متاع
15210	essbe7	arabizi	الصباح	ال+صباح	DET+NOUN	صباح
15211	.	arabizi	.	.	PUNC	PUNC
15212	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
15213	7afla	arabizi	حفلة	حفلة	NOUN-NSUFF_FEM_SG	حفلة
15214	larb3a	arabizi	لاربعة	ل+اربعة	PREP+NOUN_NUM	اربعة
15215	mennes	arabizi	مالناس	م+ال+ناس	PREP+DET+NOUN	ناس
15216	,	arabizi	،	،	PUNC	PUNC
15217	lilaa	arabizi	الليلة	ال+ليلة	DET+NOUN-NSUFF_FEM_SG	ليل
15218	essab3a	arabizi	السبعة	ال+سبعة	DET+NOUN_NUM	سبعة
15219	wns	arabizi	ونصّ	و+نصّ	CONJ+NOUN_QUANT	نصّ
15220	.	arabizi	.	.	PUNC	PUNC
15221	Bacem	arabizi	باسم	باسم	NOUN_PROP	باسم
15222	chkoun	arabizi	شكون	شكون	PRON_INDEF	شكون
15223	?	arabizi	؟	؟	PUNC	PUNC
15224	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
15225	en7eb	arabizi	نحبّ	نحبّ	IV1S-IV	حبّ
15226	nabdel	arabizi	نبدّل	نبدّل	IV1S-IV	بدّل
15227	lkamanda	arabizi	الكماندة	ال+كماندة	DET+NOUN-NSUFF_FEM_SG	كماندة
15228	mta3i	arabizi	متاعي	متاع+ي	PREP+PRON_1S	متاع
15229	.	arabizi	.	.	PUNC	PUNC
15230	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
15231	5amsa	arabizi	خمسة	خمسة	NOUN_NUM	خمسة
15232	wa3chrine	arabizi	وعشرين	و+عشرين	CONJ+NOUN_NUM	عشرين
15233	doular	arabizi	دولار	دولار	NOUN	دولار
15234	fihom	arabizi	فيهم	في+هم	PREP+PRON_3P	في
15235	7a9	arabizi	حق	حقّ	NOUN	حقّ
15236	lkar	arabizi	الكار	ال+كار	DET+NOUN	كار
15237	,	arabizi	،	،	PUNC	PUNC
15238	eddalil	arabizi	الدليل	ال+دليل	DET+NOUN	دليل
15239	,	arabizi	،	،	PUNC	PUNC
15240	weddkhoul	arabizi	والدخول	و+ال+دخول	CONJ+DET+NOUN	دخول
